singer,name,lyrics,moodCat
魏昌澤,陰天,"['天空黑暗', '烏雲出來', '雨滴總是要落不落下來', '風中吹散', '一片花海', '路上忙碌的人躲了起來', '我為何等待', '等待著誰來', '烏雲密佈斷開混亂的腦袋', '幾點了 沒心情', '啤酒獨自飲', '誰能懂', '八月的陰天 渡過的時間', '時間一點一滴流失這世界', '黑暗的天際 我卻少了妳', '這陰天裡只有我和我自己', '一天一天過一天是一天', '以前以前還是兩情相悅', '我', '遺失了笑容', '曾經上揚的嘴角無影無蹤', '八月的陰天 渡過的時間', '時間一點一滴流失這世界', '黑暗的天際 我卻少了妳', '這陰天裡只有我和我自己', '真的不能相信等奇蹟', '以為妳會發現我愛妳', '說了這麼多卻不在意', '虧我還特地翻山越嶺', '再多對不起都來不及', '筆記寫下習慣和秘密', '製造機會來一次相遇', '扭轉陰天變成好天氣', 'Wow', '做這麼多you never know', '回憶打包行李帶走', '就這樣一直走 直到走到了盡頭 也不錯', '畫面一直轉 撐起一把傘 雲層一直閃', '說話一直拐 臭臉一直板 回頭才發現妳不在']",哀
非心聞,贈,"['一個房間，隔開我與這個世界。', '而你，從陽台俯瞰這條街。', '伴著音樂，我給你寫下這封信。', '門外，是那等待已久的人。', '白色的椅子送給需要安心讀書的人。', '黑色的鬧鐘送給那週末還需要早起的人。', '紅色的吉他送給街道旁走唱的人。', '一個房間送給辛勤地工作卻交不起房租的人。', '可那渴求的眼神，讓我不敢開這扇門。', '直到最後，我們送出了這一切，', '黑夜讓我的靈魂得到片刻的停歇。', '是否我該離開，轉頭裝作看不見，', '或許，這一切將永不改變？', '黃色的風衣送給在黑夜裡守候的人，', '藍色的面罩送給那霧霾天還要外出的人。', '綠色的盆栽送給在辦公室裡加班的人。', '一個房間送給付出了所有卻還是沒有家的人。', '可那渴求的眼神，讓我無法再關上這道門。', '(器樂間奏)', '一個房間，隔開我與整個世界。', '而你，從陽台俯瞰這條街。', '伴著音樂，我給你寫下這封信。', '門外，是那將要遠行的人。']",哀
神隊友,神隊友,"['企業女子壘球隊群星', '石靚蘋 & 陳安心 & 楊淑媛 & 沈筱琳 & 余佳玲 & 林靜茹 & 楊依婷', '(新北凱撒勇士 靚蘋)', '心情陽光普照', '準備站上壘包', '讓熱情起跑', 'Are you ready ?', 'Are you ready?', '(福添福嘉南鷹 依婷)', '我像狂風舞蹈', '開心大聲宣告', '快迎接熱潮', 'Are you ready?', ""Yes I'm ready!"", '(台中企聯虎 淑媛)', '團結一心朝夢想進攻(有你在就不怕)', 'Wow大聲唱', '勇敢向前闖 勝利就在 前方! (有你在就不怕)', 'Wow大聲唱', '神隊友在場 陪我一起 瘋狂!', '(高雄新世紀黃蜂 佳玲)', '接收夢想訊號', '心情開始鼓譟', '快形成風暴', 'Are you ready?', ""Yes I'm ready!"", '(台北臺產 靜茹)', '團結一心朝夢想進攻', '(在一起就不怕)', 'Wow大聲唱', '勇敢向前闖 勝利就在 前方!(在一起就不怕)', 'Wow大聲唱', '神隊友在場 陪我一起 瘋狂! oh', '(台中企聯虎 安心)', 'Lalalalalalalalala', '(台北臺產 靜茹)', 'Lalalalalalalalala', '(高雄新世紀黃蜂 佳玲)', 'Lalalalalalalalala', '(台中企聯虎 淑媛)', 'Lalalalalalalalala', '(福添福嘉南鷹 依婷)', 'Lalalalalalalalala', '(新北凱撒勇士 靚蘋)', 'Lalalalalalalalala', '(合唱)', '(在一起就不怕)', 'Wow大聲唱', '勇敢向前闖 勝利就在 前方!(有你在就不怕)', 'Wow大聲唱', '神隊友在場 陪我一起 瘋狂! Are you ready', 'Lalalalalalalalala有你在就不怕', 'Lalalalalalalalalala 喝一口再上場', 'Lalalalalalalalala在一起就不怕', 'Lalalalalalalalalala Nice play全力以赴']",喜
TΔΞ泰泫,Lose My Mind,"['Lose my mind', '就算心都碎了 但是我還有妳啊', '不需要三個願望 只求外面的雨停下', '想要安心睡下 不必再無謂徬徨', '到底得錯過多少', '再把我拉得靠近點', '四目相交', '喔 如果抱緊點 能找到解藥', '就算得醒來也好', '睜開雙眼才發現了愛已清晰了我模糊的臉', '用愛妝點將我摟入懷裡夜晚兩人相互依偎', 'Please just hold my hand', ""And that's why it's warm to stay with you all night"", '我的愛', ""每當被妳召喚 I'm gonna lose my mind"", ""(每當被妳召喚 I'm gonna lose my mind)"", 'Fix my broken heart', '讓泰泫的淚', '留在 Lost and found', ""(每當被妳召喚 I'm gonna lose my mind)"", '(Hear me out)', 'I swear', 'Here I am', '悄悄問妳 我還是那個少年？', '山邊 炊煙', '裊裊升起 妳拉著我手冒險', '從今以後不會再有寂寞', '不再怕也沒有任何疑惑', 'Please just hold my hand', ""And that's why it's warm to stay with you all night"", '我的愛', ""每當被妳召喚 I'm gonna lose my mind"", ""(每當被妳召喚 I'm gonna lose my mind)"", 'Fix my broken heart', '讓泰泫的淚', '留在 Lost and found', ""(每當被妳召喚 I'm gonna lose my mind)""]",哀
Black MIC,ODB,"['最近思緒太亂 悲情字句氾濫', '將我理性癱瘓 酒我直接裁罐', '喝的太快但我醉的太慢', '實在太賺 派對從不怠慢', '感謝你們在我身邊 (誰在身邊？)', 'S/O to my ganja 戰隊', '真的假的有這麼好？', '啊你不懂啦天然的最好', '真的真的 那都是真的', '我講的那種是青的不是白的', '我講的那種是會讓你飛的', '我講的那種  會讓你身體勇健又健康', '不會傷身體不怕閃尿', '就放輕鬆 配合音樂', '功效加倍 走路像用飛的', 'I might OD till the day I die (aight aight aight)', '吹的整個室內像霧霾 (Ahhh)', '欣喜若狂接受Nature 愛 (aight aight aight)', ""I'm like ya ya ya ya"", 'Black MIC ODB 100', 'Boom Bap 到trap 切換自如沒有道理', '到底 怎麼辦到的你好奇', '教你？Nah 我比較想要笑你', 'Black MIC ODB 100', 'Boom Bap 到trap 切換自如沒有道理', '到底 怎麼辦到的你好奇', '教你？Ha Haaaa!', '瑪莉她會教你如何加足馬力', '懂玩的少女總玩的超齡', '她可能罩你也可能操你', '只希望野馬不會脫韁 Not a bad trip!', '有人試著駕馭將她添罪名', '我試著讓她Free 自由飛行', '別聽信那些人胡言亂語', '他們從沒和她交過心', '現在教你如何交心 (Ya!)', '燃燒氣體往腦門衝擊', '眼球紅通加上頭暈 Lay back', '轉換另個情境 (Hoo)', '是高或低 輕或沉', '哭著還笑著 熟還是生', '跟著瑪莉也跟著心', '先別去想一切假還真', ""I'm a ODB 晚上帶妳看星星"", '看心情甚至帶妳飛向銀河系', '離合器都放開手張開遊蕩在Open mind', '都進來 Puff puff pass', 'Call the hot chick take a hit', '再讓我探探她的法大穴', 'Oh Damn 有人嗨到倒頭栽', 'Roll your eyeballs 讓我看見眼白', '沒有眼白 全都紅的', '哪個人又倒了誰又喊著 Hold up', 'Fuck that Black MIC 從不停歇 (Ya!)', 'OD 直到另個境界', ""I'm a Skywalker"", '今夜狂的讓你驚艷', 'Believe that 你將晉見', '另個我 心的火 盯著我', '緊捉我給你新的dope', 'I might OD till the day I die (Aight aight aight)', '吹的整個室內像霧霾 (Ahhh)', '欣喜若狂接受Nature 愛 (Aight aight aight)', ""I'm like Ahhhhh"", 'Black MIC ODB 100', 'Boom Bap 到trap 切換自如沒有道理', '到底 怎麼辦到的你好奇', '教你？Nah 我比較想要笑你', 'Black MIC ODB 100', 'Boom Bap 到trap 切換自如沒有道理', '到底 怎麼辦到的你好奇', '教你？Nah 先去找找瑪莉']",喜
苗小青,平妖仙君,"['妖妖妖妖妖妖 全部都是妖', '妖妖妖妖妖妖 跟我平了這些妖', '妖妖妖妖妖妖 誘惑人的妖', '妖妖妖妖妖', '朱砂黃紙大米 我都已經備齊', '黃道吉日來臨 掃清這些垃圾', '十五月亮圓? 十二點看手機', '全部都是妖精 黑絲白絲要你命', '都在想點石成金', '成全了那些妖精', '兄弟們都醒一醒', '回頭看看你們的家庭', '給你們開個天眼 行？', '可以看透人傳人的妖氣', '她們修煉的工具', '不就是美顏特效玻尿酸', '妖妖妖妖妖妖', '全部都是妖', '妖妖妖妖妖妖', '平了這些妖', '妖妖妖妖妖', '都在想點石成金', '成全了那些妖精', '兄弟們都醒一醒', '回頭看看你們的家庭', '給你們開個天眼 行？', '可以看透人傳人的妖氣', '她們修煉的工具', '不就是美顏特效玻尿酸', '妖妖妖妖妖妖  全部都是妖', '妖妖妖妖妖妖  跟我平了這些妖', '妖妖妖妖妖妖  誘惑人的妖', '妖妖妖妖妖', '妖妖妖妖妖妖', '全部都是妖', '妖妖妖妖妖妖', '平了這些妖', '妖妖妖妖妖']",喜
摩登兄弟劉宇寧,千里江山,"['大型紀錄片紫禁城主題歌', '落筆青山慢如風', '不枉急行這一生', '誰扛得住山河重', '千裡翩翩入畫中', '見少年', '鮮衣怒馬勇', '憑海望崢嶸', '敢捨命', '萬裡江奔湧', '一葉輕薄扁舟', '心懷難收', '日月拂江流', '千年亦如舊', '怎知我身已腐朽', '手繪青綠稠', '山川亦如舊', '恨朝夕畫不盡江山錦繡', '我心已如皺', '任歲月消瘦', '但人間風雨不休', '願贈你不朽', '我倉促身後', '亦無憂', '落筆青山慢如風', '不枉急行這一生', '誰扛得住山河重', '千裡翩翩入畫中', '見少年', '鮮衣怒馬勇', '憑海望崢嶸', '敢捨命', '萬裡江奔湧', '一葉輕薄扁舟', '心懷難收', '日月拂江流', '千年亦如舊', '怎知我身已腐朽', '手繪青綠稠', '山川亦如舊', '恨朝夕畫不盡江山錦繡', '我心已如皺', '任歲月消瘦', '但人間風雨不休', '願贈你不朽', '我倉促身後', '亦無憂']",哀
蔣舟,飲水思親恩,"['歷盡艱辛踏遍千山萬水', '尋得一眼萬年泉水', '嘗飲甘泉如飲母乳', '飲水思源心懷感恩', '生兒娘遭罪養兒娘受累', '兒若病母心如針扎', '求醫祈佛日夜守望', '多少血汗多少淚水', '一生勞碌從不輕易表露', '風霜雨雪護育子成器', '彈指之間黑發已斑白', '少年不識意 養兒方知父母恩', '時光飛逝莫待轉眼成煙', '游子盡孝報恩應當時', '捧一杯甘泉回報母恩', '兒願母康壽 來生願續母子情']",哀
鄭斌彥,好運來,"['嗨男孩 嗨女孩', '趕快站起來！', '跟著我 的節奏', '敲打著節拍', '把傷心 都忘掉', '笑呀笑顏開', '新年歌在飄揚，心情好多自在！', '嗨AUNTIE 嗨UNCLE', '一起動起來！', '跟著我 的節奏', '手跟著搖擺', '把煩惱 都拋開', '樂呀樂開懷', '把笑容掛臉上，好運才會跟著來！', '好運來 動起來', '大步大步向前邁', '勇敢沖 敢敢來', '我們從來不言敗', '好運來 滾滾來', '財神到你家徘徊', '春風吹 福滿載', '祝福你平安 好運常在！', '好運來 動起來', '自信是你的品牌', '勇敢沖 敢敢來', '要像老虎那樣帥', '好運來 心打開', '福氣安康接著來', '煩惱的 都釋懷', '祝福你平安 好運常在！', '祝我們好運常在！']",喜
余佳運,Somehow,"['漫天辰星都一一墜入你眼裡', '你眼裡倒映出我閃躲的神情', '故事才講了一半', '害怕你會放開我的手', '噩夢醒來你還躺在我左右', 'Baby當我們墜入黑洞之後', '看見了銀河環繞在我們的周圍', '引力把我們漸漸地撕碎', 'Oh 我們多想可以去浪費時光', '看看我們曾經年少的模樣', '光速讓我們愛變得不匆忙', '就在你的身旁', '可我們困在這鬼地方', '我愛你是什麼形狀', '害怕你會放開我的手', '噩夢醒來你還躺在我左右', 'Baby當我們墜入黑洞之後', '看見了銀河環繞在我們的周圍', '引力把我們漸漸地撕碎', 'Oh 我們多想可以去浪費時光', '看看我們曾經年少的模樣', '光速讓我們愛變得不匆忙', '就在你的身旁', 'Oh 我們多想可以去浪費時光', '看看我們曾經年少的模樣', '光速讓我們愛變得不匆忙', '就在你的身旁', ""Don't realize don't realize"", ""We'll be fine I'll be gravitated day n night"", ""Can't deny can't deny the fact though"", ""We ain't got the time"", ""Somehow I'll find you baby"", 'Oh 我們多想可以去浪費時光', '看看我們曾經年少的模樣', '光速讓我們愛變得不匆忙', 'Oh 我們多想可以去浪費時光', '看看我們曾經年少的模樣', '光速讓我們愛變得不匆忙', '就在你的身旁', '漫天辰星都一一墜入你眼裡', '你眼裡倒映出我閃躲的神情', '故事還沒有講完']",哀
